ref,Site Address,Proposal,Total units on devt,Ward,Parish,Deed Ref,Deed Type,Date Signed,RSL,Tenure,No of units for this mix type,% AH of total units for permission,Mix type
10-AP-2824,"63 ALSCOT ROAD, SE1 3AW","Clearance of site and erection of a part 4 / part 5 storey building to provide 23 new homes (6x 1 bed, 12 x 2 bed, 4 x 3 bed & 1 x 4 bed) including 7 no. affordable units and bicycle and car parking, refuse / recycling facilities, access, landscaping and amenity areas.",23.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,07/01/2011,TO BE CONFIRMED,Social Rent,2,8.70,3 Bed
10-AP-2824,"63 ALSCOT ROAD, SE1 3AW","Clearance of site and erection of a part 4 / part 5 storey building to provide 23 new homes (6x 1 bed, 12 x 2 bed, 4 x 3 bed & 1 x 4 bed) including 7 no. affordable units and bicycle and car parking, refuse / recycling facilities, access, landscaping and amenity areas.",23.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,07/01/2011,TO BE CONFIRMED,Social Rent,1,4.35,4 Bed
10-AP-2849,"HAND IN HAND, 37 ARCH STREET, LONDON, SE1 6PQ","Redevelopment of the former public house site with a part five and part six storey building to provide 19 residential flats (14 x 2 bed, 4 x 3 bed and 1 x 4 bed) with communal rooftop amenity space and internal refuse and cycle storage.",19.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/01/2011,TO BE CONFIRMED,General Needs,1,5.26,2 Bed
10-AP-2849,"HAND IN HAND, 37 ARCH STREET, LONDON, SE1 6PQ","Redevelopment of the former public house site with a part five and part six storey building to provide 19 residential flats (14 x 2 bed, 4 x 3 bed and 1 x 4 bed) with communal rooftop amenity space and internal refuse and cycle storage.",19.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/01/2011,TO BE CONFIRMED,Shared Own,3,15.79,2 Bed
10-AP-2849,"HAND IN HAND, 37 ARCH STREET, LONDON, SE1 6PQ","Redevelopment of the former public house site with a part five and part six storey building to provide 19 residential flats (14 x 2 bed, 4 x 3 bed and 1 x 4 bed) with communal rooftop amenity space and internal refuse and cycle storage.",19.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/01/2011,TO BE CONFIRMED,General Needs,1,5.26,2 bed wch/acc
10-AP-2849,"HAND IN HAND, 37 ARCH STREET, LONDON, SE1 6PQ","Redevelopment of the former public house site with a part five and part six storey building to provide 19 residential flats (14 x 2 bed, 4 x 3 bed and 1 x 4 bed) with communal rooftop amenity space and internal refuse and cycle storage.",19.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/01/2011,TO BE CONFIRMED,Shared Own,1,5.26,3 Bed
10-AP-2849,"HAND IN HAND, 37 ARCH STREET, LONDON, SE1 6PQ","Redevelopment of the former public house site with a part five and part six storey building to provide 19 residential flats (14 x 2 bed, 4 x 3 bed and 1 x 4 bed) with communal rooftop amenity space and internal refuse and cycle storage.",19.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/01/2011,TO BE CONFIRMED,General Needs,1,5.26,4 bed wch/acc
10-AP-3008,"LAND AT FELTON HALL, GEORGE ROW SE1","Seven storey building to provide 23 residential units on first to sixth floors with Class D1 community use on the ground floor; solar panels on the roof, refuse and cycle storage.",23.00,Riverside Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/04/2011,TO BE CONFIRMED,Shared Own,2,8.70,2 Bed
10-AP-3008,"LAND AT FELTON HALL, GEORGE ROW SE1","Seven storey building to provide 23 residential units on first to sixth floors with Class D1 community use on the ground floor; solar panels on the roof, refuse and cycle storage.",23.00,Riverside Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/04/2011,TO BE CONFIRMED,Aff Rent,1,4.35,2 bed wch/acc
10-AP-3008,"LAND AT FELTON HALL, GEORGE ROW SE1","Seven storey building to provide 23 residential units on first to sixth floors with Class D1 community use on the ground floor; solar panels on the roof, refuse and cycle storage.",23.00,Riverside Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/04/2011,TO BE CONFIRMED,Aff Rent,1,4.35,3 Bed
10-AP-3008,"LAND AT FELTON HALL, GEORGE ROW SE1","Seven storey building to provide 23 residential units on first to sixth floors with Class D1 community use on the ground floor; solar panels on the roof, refuse and cycle storage.",23.00,Riverside Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/04/2011,TO BE CONFIRMED,Shared Own,1,4.35,3 Bed
10-AP-3008,"LAND AT FELTON HALL, GEORGE ROW SE1","Seven storey building to provide 23 residential units on first to sixth floors with Class D1 community use on the ground floor; solar panels on the roof, refuse and cycle storage.",23.00,Riverside Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,01/04/2011,TO BE CONFIRMED,Aff Rent,1,4.35,3 bed wch/acc
10-AP-3010,"BERMONDSEY SPA SITE C5, GRANGE WALK, LONDON, SE1 3EL (SITE BOUNDED BY SPA ROAD NECKINGER & GRANGE WALK)","Demolition of existing buildings and erection of 4 buildings ranging from 4 to 7 storeys in height (4 storeys fronting Grange Walk, rising to 5, 6 and 7 storeys at the centre of the site and 4 to 5 storeys fronting Spa Road) to provide 205 residential units (Use Class C3). The proposal includes 796sqm of flexible commercial space either for retail (Use Class A1), office (Use Class B1) or community use (Use Class D1). Within the site, the proposal includes the construction of new roads, pedestrian and cycle routes and new access to the public highway; together with associated works including the provision of 39 car parking spaces, 252 cycle parking spaces, 12 motorcycle parking spaces, servicing, landscaping and plant areas.",205.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,25/01/2011,Notting Hill Home Ownership,Aff Rent,9,4.39,1 Bed
10-AP-3010,"BERMONDSEY SPA SITE C5, GRANGE WALK, LONDON, SE1 3EL (SITE BOUNDED BY SPA ROAD NECKINGER & GRANGE WALK)","Demolition of existing buildings and erection of 4 buildings ranging from 4 to 7 storeys in height (4 storeys fronting Grange Walk, rising to 5, 6 and 7 storeys at the centre of the site and 4 to 5 storeys fronting Spa Road) to provide 205 residential units (Use Class C3). The proposal includes 796sqm of flexible commercial space either for retail (Use Class A1), office (Use Class B1) or community use (Use Class D1). Within the site, the proposal includes the construction of new roads, pedestrian and cycle routes and new access to the public highway; together with associated works including the provision of 39 car parking spaces, 252 cycle parking spaces, 12 motorcycle parking spaces, servicing, landscaping and plant areas.",205.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,25/01/2011,Notting Hill Home Ownership,Intermediate,14,6.83,1 Bed
10-AP-3010,"BERMONDSEY SPA SITE C5, GRANGE WALK, LONDON, SE1 3EL (SITE BOUNDED BY SPA ROAD NECKINGER & GRANGE WALK)","Demolition of existing buildings and erection of 4 buildings ranging from 4 to 7 storeys in height (4 storeys fronting Grange Walk, rising to 5, 6 and 7 storeys at the centre of the site and 4 to 5 storeys fronting Spa Road) to provide 205 residential units (Use Class C3). The proposal includes 796sqm of flexible commercial space either for retail (Use Class A1), office (Use Class B1) or community use (Use Class D1). Within the site, the proposal includes the construction of new roads, pedestrian and cycle routes and new access to the public highway; together with associated works including the provision of 39 car parking spaces, 252 cycle parking spaces, 12 motorcycle parking spaces, servicing, landscaping and plant areas.",205.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,25/01/2011,Notting Hill Home Ownership,Aff Rent,20,9.76,2 Bed
10-AP-3010,"BERMONDSEY SPA SITE C5, GRANGE WALK, LONDON, SE1 3EL (SITE BOUNDED BY SPA ROAD NECKINGER & GRANGE WALK)","Demolition of existing buildings and erection of 4 buildings ranging from 4 to 7 storeys in height (4 storeys fronting Grange Walk, rising to 5, 6 and 7 storeys at the centre of the site and 4 to 5 storeys fronting Spa Road) to provide 205 residential units (Use Class C3). The proposal includes 796sqm of flexible commercial space either for retail (Use Class A1), office (Use Class B1) or community use (Use Class D1). Within the site, the proposal includes the construction of new roads, pedestrian and cycle routes and new access to the public highway; together with associated works including the provision of 39 car parking spaces, 252 cycle parking spaces, 12 motorcycle parking spaces, servicing, landscaping and plant areas.",205.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,25/01/2011,Notting Hill Home Ownership,Intermediate,8,3.90,2 Bed
10-AP-3010,"BERMONDSEY SPA SITE C5, GRANGE WALK, LONDON, SE1 3EL (SITE BOUNDED BY SPA ROAD NECKINGER & GRANGE WALK)","Demolition of existing buildings and erection of 4 buildings ranging from 4 to 7 storeys in height (4 storeys fronting Grange Walk, rising to 5, 6 and 7 storeys at the centre of the site and 4 to 5 storeys fronting Spa Road) to provide 205 residential units (Use Class C3). The proposal includes 796sqm of flexible commercial space either for retail (Use Class A1), office (Use Class B1) or community use (Use Class D1). Within the site, the proposal includes the construction of new roads, pedestrian and cycle routes and new access to the public highway; together with associated works including the provision of 39 car parking spaces, 252 cycle parking spaces, 12 motorcycle parking spaces, servicing, landscaping and plant areas.",205.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,25/01/2011,Notting Hill Home Ownership,Aff Rent,9,4.39,3 Bed
10-AP-3010,"BERMONDSEY SPA SITE C5, GRANGE WALK, LONDON, SE1 3EL (SITE BOUNDED BY SPA ROAD NECKINGER & GRANGE WALK)","Demolition of existing buildings and erection of 4 buildings ranging from 4 to 7 storeys in height (4 storeys fronting Grange Walk, rising to 5, 6 and 7 storeys at the centre of the site and 4 to 5 storeys fronting Spa Road) to provide 205 residential units (Use Class C3). The proposal includes 796sqm of flexible commercial space either for retail (Use Class A1), office (Use Class B1) or community use (Use Class D1). Within the site, the proposal includes the construction of new roads, pedestrian and cycle routes and new access to the public highway; together with associated works including the provision of 39 car parking spaces, 252 cycle parking spaces, 12 motorcycle parking spaces, servicing, landscaping and plant areas.",205.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,25/01/2011,Notting Hill Home Ownership,Intermediate,2,0.98,3 Bed
10-AP-3010,"BERMONDSEY SPA SITE C5, GRANGE WALK, LONDON, SE1 3EL (SITE BOUNDED BY SPA ROAD NECKINGER & GRANGE WALK)","Demolition of existing buildings and erection of 4 buildings ranging from 4 to 7 storeys in height (4 storeys fronting Grange Walk, rising to 5, 6 and 7 storeys at the centre of the site and 4 to 5 storeys fronting Spa Road) to provide 205 residential units (Use Class C3). The proposal includes 796sqm of flexible commercial space either for retail (Use Class A1), office (Use Class B1) or community use (Use Class D1). Within the site, the proposal includes the construction of new roads, pedestrian and cycle routes and new access to the public highway; together with associated works including the provision of 39 car parking spaces, 252 cycle parking spaces, 12 motorcycle parking spaces, servicing, landscaping and plant areas.",205.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,25/01/2011,Notting Hill Home Ownership,Aff Rent,6,2.93,4 Bed
10-AP-3131,"28-30 TRINITY STREET, LONDON SE1 4JE","Minor Material amendments - alterations to external elevations of proposed houses facing rear of Trinity Church Square properties including single storey side extensions, in relation to application 10AP0186 dated 27/5/2010, which was for amendments to application LBS Reg  08-AP-0309 dated 8/5/2008, for the demolition of existing buildings and erection of a four storey building plus basement fronting Trinity St  providing 22 self contained flats, (2 x 1 bed, 17 x 2 bed, 3 x 3 bed), and 10 three storey plus basement, four bedroom dwelling houses with integral garages to the rear, plus 4 disabled accessible car parking spaces and cycle and motorcycle parking at basement level, refuse/recycling enclosure at rear of site, hard and soft landscaping, and refuse storage.",22.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,15/02/2011,TO BE CONFIRMED,Not known,5,22.73,2 Bed
10-AP-3131,"28-30 TRINITY STREET, LONDON SE1 4JE","Minor Material amendments - alterations to external elevations of proposed houses facing rear of Trinity Church Square properties including single storey side extensions, in relation to application 10AP0186 dated 27/5/2010, which was for amendments to application LBS Reg  08-AP-0309 dated 8/5/2008, for the demolition of existing buildings and erection of a four storey building plus basement fronting Trinity St  providing 22 self contained flats, (2 x 1 bed, 17 x 2 bed, 3 x 3 bed), and 10 three storey plus basement, four bedroom dwelling houses with integral garages to the rear, plus 4 disabled accessible car parking spaces and cycle and motorcycle parking at basement level, refuse/recycling enclosure at rear of site, hard and soft landscaping, and refuse storage.",22.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,15/02/2011,TO BE CONFIRMED,Not known,2,9.09,2 bed wch/acc
10-AP-3131,"28-30 TRINITY STREET, LONDON SE1 4JE","Minor Material amendments - alterations to external elevations of proposed houses facing rear of Trinity Church Square properties including single storey side extensions, in relation to application 10AP0186 dated 27/5/2010, which was for amendments to application LBS Reg  08-AP-0309 dated 8/5/2008, for the demolition of existing buildings and erection of a four storey building plus basement fronting Trinity St  providing 22 self contained flats, (2 x 1 bed, 17 x 2 bed, 3 x 3 bed), and 10 three storey plus basement, four bedroom dwelling houses with integral garages to the rear, plus 4 disabled accessible car parking spaces and cycle and motorcycle parking at basement level, refuse/recycling enclosure at rear of site, hard and soft landscaping, and refuse storage.",22.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,15/02/2011,TO BE CONFIRMED,Not known,2,9.09,3 Bed
10-AP-3131,"28-30 TRINITY STREET, LONDON SE1 4JE","Minor Material amendments - alterations to external elevations of proposed houses facing rear of Trinity Church Square properties including single storey side extensions, in relation to application 10AP0186 dated 27/5/2010, which was for amendments to application LBS Reg  08-AP-0309 dated 8/5/2008, for the demolition of existing buildings and erection of a four storey building plus basement fronting Trinity St  providing 22 self contained flats, (2 x 1 bed, 17 x 2 bed, 3 x 3 bed), and 10 three storey plus basement, four bedroom dwelling houses with integral garages to the rear, plus 4 disabled accessible car parking spaces and cycle and motorcycle parking at basement level, refuse/recycling enclosure at rear of site, hard and soft landscaping, and refuse storage.",22.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,15/02/2011,TO BE CONFIRMED,Not known,1,4.55,3 bed wch/acc
10-AP-3173,"25-35 CHESTERFIELD WAY, LONDON, SE15 2AW","Erection of a 4 storey block of 13 flats with amenity space, one off-street disabled car parking bay and cycle parking.",13.00,Nunhead Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,22/03/2011,TO BE CONFIRMED,Not known,13,100.00,Not known
10-AP-3239,"139 QUEENS ROAD, LONDON, SE15 2NB","The redevelopment of the site to erect a 4 storey building comprising 111 sqm of retail space (Use Class A1), 12 flats (3 x one bedroom, 7 x two bedroom and 2 x three bedroom), associated amenity areas, 2 disabled parking spaces on Asylum Road and refuse/recycling store.",12.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,08/02/2011,TO BE CONFIRMED,Intermediate,1,8.33,1 Bed
10-AP-3239,"139 QUEENS ROAD, LONDON, SE15 2NB","The redevelopment of the site to erect a 4 storey building comprising 111 sqm of retail space (Use Class A1), 12 flats (3 x one bedroom, 7 x two bedroom and 2 x three bedroom), associated amenity areas, 2 disabled parking spaces on Asylum Road and refuse/recycling store.",12.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,08/02/2011,TO BE CONFIRMED,Social Rent,1,8.33,1 bed wch/acc
10-AP-3239,"139 QUEENS ROAD, LONDON, SE15 2NB","The redevelopment of the site to erect a 4 storey building comprising 111 sqm of retail space (Use Class A1), 12 flats (3 x one bedroom, 7 x two bedroom and 2 x three bedroom), associated amenity areas, 2 disabled parking spaces on Asylum Road and refuse/recycling store.",12.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,08/02/2011,TO BE CONFIRMED,Intermediate,2,16.67,2 Bed
10-AP-3239,"139 QUEENS ROAD, LONDON, SE15 2NB","The redevelopment of the site to erect a 4 storey building comprising 111 sqm of retail space (Use Class A1), 12 flats (3 x one bedroom, 7 x two bedroom and 2 x three bedroom), associated amenity areas, 2 disabled parking spaces on Asylum Road and refuse/recycling store.",12.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,08/02/2011,TO BE CONFIRMED,Social Rent,1,8.33,2 Bed
10-AP-3239,"139 QUEENS ROAD, LONDON, SE15 2NB","The redevelopment of the site to erect a 4 storey building comprising 111 sqm of retail space (Use Class A1), 12 flats (3 x one bedroom, 7 x two bedroom and 2 x three bedroom), associated amenity areas, 2 disabled parking spaces on Asylum Road and refuse/recycling store.",12.00,Livesey Ward (B&R + P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,08/02/2011,TO BE CONFIRMED,Social Rent,1,8.33,2 bed wch/acc
10-AP-3458,"SOUTHWARK PARK CLUB, 386 SOUTHWARK PARK ROAD, LONDON, SE16 2ET","Erection of a 4-storey building comprising social club at ground floor level (Use Class D1) and 17 flats (Use Class C3), following the demolition of the existing building on the site.",17.00,Rotherhithe Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,24/02/2011,TO BE CONFIRMED,Not known,3,17.65,Not known
11-AP-0138,"430-432 OLD KENT ROAD, LONDON, SE1 5AG","Demolition of existing buildings and erection of a building ranging from four to eight storeys in height (maximum 27.87m AOD) comprising 417 sqm of commercial floorspace (Use Classes A1 retail, A2 financial and professional services and/or B1 business) and 64 residential units (27 x one bedroom, 22 x two bedroom, 11 x three bedroom and 4 x four bedroom) with balconies, terraces and gardens, communal amenity space, 92 bicycle spaces, 21 car parking spaces, refuse storage, access and associated works",64.00,East Walworth Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,21/04/2018,TO BE CONFIRMED,Intermediate,2,3.13,1 Bed
11-AP-0138,"430-432 OLD KENT ROAD, LONDON, SE1 5AG","Demolition of existing buildings and erection of a building ranging from four to eight storeys in height (maximum 27.87m AOD) comprising 417 sqm of commercial floorspace (Use Classes A1 retail, A2 financial and professional services and/or B1 business) and 64 residential units (27 x one bedroom, 22 x two bedroom, 11 x three bedroom and 4 x four bedroom) with balconies, terraces and gardens, communal amenity space, 92 bicycle spaces, 21 car parking spaces, refuse storage, access and associated works",64.00,East Walworth Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,21/04/2018,TO BE CONFIRMED,Intermediate,3,4.69,1 bed wch/acc
11-AP-0138,"430-432 OLD KENT ROAD, LONDON, SE1 5AG","Demolition of existing buildings and erection of a building ranging from four to eight storeys in height (maximum 27.87m AOD) comprising 417 sqm of commercial floorspace (Use Classes A1 retail, A2 financial and professional services and/or B1 business) and 64 residential units (27 x one bedroom, 22 x two bedroom, 11 x three bedroom and 4 x four bedroom) with balconies, terraces and gardens, communal amenity space, 92 bicycle spaces, 21 car parking spaces, refuse storage, access and associated works",64.00,East Walworth Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,21/04/2018,TO BE CONFIRMED,Intermediate,8,12.50,2 Bed
11-AP-0138,"430-432 OLD KENT ROAD, LONDON, SE1 5AG","Demolition of existing buildings and erection of a building ranging from four to eight storeys in height (maximum 27.87m AOD) comprising 417 sqm of commercial floorspace (Use Classes A1 retail, A2 financial and professional services and/or B1 business) and 64 residential units (27 x one bedroom, 22 x two bedroom, 11 x three bedroom and 4 x four bedroom) with balconies, terraces and gardens, communal amenity space, 92 bicycle spaces, 21 car parking spaces, refuse storage, access and associated works",64.00,East Walworth Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,21/04/2018,TO BE CONFIRMED,Intermediate,5,7.81,3 Bed
11-AP-0138,"430-432 OLD KENT ROAD, LONDON, SE1 5AG","Demolition of existing buildings and erection of a building ranging from four to eight storeys in height (maximum 27.87m AOD) comprising 417 sqm of commercial floorspace (Use Classes A1 retail, A2 financial and professional services and/or B1 business) and 64 residential units (27 x one bedroom, 22 x two bedroom, 11 x three bedroom and 4 x four bedroom) with balconies, terraces and gardens, communal amenity space, 92 bicycle spaces, 21 car parking spaces, refuse storage, access and associated works",64.00,East Walworth Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,21/04/2018,TO BE CONFIRMED,Social Rent,4,6.25,4 Bed
11-AP-0139,"SILWOOD ESTATE (PHASE 4B), LAND AT SILWOOD STREET, DEBNAMS ROAD, CORBETTS LANE, LONDON SE16","Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",127.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Supplemental,Unilateral,21/03/2012,TO BE CONFIRMED,Intermediate,6,4.72,1 Bed
11-AP-0139,"SILWOOD ESTATE (PHASE 4B), LAND AT SILWOOD STREET, DEBNAMS ROAD, CORBETTS LANE, LONDON SE16","Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",127.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Original Deed (Superseded),Unilateral,11/05/2011,TO BE CONFIRMED,Intermediate,6,4.72,1 Bed
11-AP-0139,"SILWOOD ESTATE (PHASE 4B), LAND AT SILWOOD STREET, DEBNAMS ROAD, CORBETTS LANE, LONDON SE16","Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",127.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Supplemental,Unilateral,21/03/2012,TO BE CONFIRMED,Intermediate,10,7.87,2 Bed
11-AP-0139,"SILWOOD ESTATE (PHASE 4B), LAND AT SILWOOD STREET, DEBNAMS ROAD, CORBETTS LANE, LONDON SE16","Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",127.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Original Deed (Superseded),Unilateral,11/05/2011,TO BE CONFIRMED,Intermediate,10,7.87,2 Bed
11-AP-0139,"SILWOOD ESTATE (PHASE 4B), LAND AT SILWOOD STREET, DEBNAMS ROAD, CORBETTS LANE, LONDON SE16","Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",127.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Supplemental,Unilateral,21/03/2012,TO BE CONFIRMED,Social Rent,11,8.66,2 Bed
11-AP-0139,"SILWOOD ESTATE (PHASE 4B), LAND AT SILWOOD STREET, DEBNAMS ROAD, CORBETTS LANE, LONDON SE16","Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",127.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Original Deed (Superseded),Unilateral,11/05/2011,TO BE CONFIRMED,Social Rent,11,8.66,2 Bed
11-AP-0139,"SILWOOD ESTATE (PHASE 4B), LAND AT SILWOOD STREET, DEBNAMS ROAD, CORBETTS LANE, LONDON SE16","Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",127.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Supplemental,Unilateral,21/03/2012,TO BE CONFIRMED,Intermediate,2,1.57,3 Bed
11-AP-0139,"SILWOOD ESTATE (PHASE 4B), LAND AT SILWOOD STREET, DEBNAMS ROAD, CORBETTS LANE, LONDON SE16","Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",127.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Original Deed (Superseded),Unilateral,11/05/2011,TO BE CONFIRMED,Intermediate,2,1.57,3 Bed
11-AP-0139,"SILWOOD ESTATE (PHASE 4B), LAND AT SILWOOD STREET, DEBNAMS ROAD, CORBETTS LANE, LONDON SE16","Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",127.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Supplemental,Unilateral,21/03/2012,TO BE CONFIRMED,Social Rent,5,3.94,3 Bed
11-AP-0139,"SILWOOD ESTATE (PHASE 4B), LAND AT SILWOOD STREET, DEBNAMS ROAD, CORBETTS LANE, LONDON SE16","Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",127.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Original Deed (Superseded),Unilateral,11/05/2011,TO BE CONFIRMED,Social Rent,5,3.94,3 Bed
11-AP-0139,"SILWOOD ESTATE (PHASE 4B), LAND AT SILWOOD STREET, DEBNAMS ROAD, CORBETTS LANE, LONDON SE16","Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",127.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Supplemental,Unilateral,21/03/2012,TO BE CONFIRMED,Social Rent,6,4.72,4 Bed
11-AP-0139,"SILWOOD ESTATE (PHASE 4B), LAND AT SILWOOD STREET, DEBNAMS ROAD, CORBETTS LANE, LONDON SE16","Demolition of the existing buildings and the construction of buildings between 3 and 6 storeys in height, rising to 8 storeys at the corner of Silwood Street and Corbett's Lane, to provide 127 residential units (25 x 1bed, 78 x 2bed, 18 x 3bed, 6 x 4bed) together with associated landscaping, parking and amenity space.",127.00,Livesey Ward (B&R + P&N),Bermondsey and Rotherhithe,Original Deed (Superseded),Unilateral,11/05/2011,TO BE CONFIRMED,Social Rent,6,4.72,4 Bed
11-AP-0196,"THE WILFRED SHELDON CENTRE, ST GILES HOSPITAL, ST GILES ROAD, LONDON, SE5 7RN","The erection of 9, three and four storey town houses  (1 x 3 bed, 6 x 4 bed, 2 x 5 bed) in a terrace with 7 car parking spaces with access from St Giles Road, cycle and associated refuse storage together with alterations to the listed boundary wall.",9.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,12/05/2011,TO BE CONFIRMED,Social Rent,1,11.11,4 Bed
